Relative_beep,Type,Sign,Asyn_norm,StdDesv_norm,IOI,Porcentage,Perturb_size,n_subj
0,PS,neg,0.0950124688279,0.0748129675811,400,8,-32,6
1,PS,neg,0.00523690773067,0.04638403990023,400,8,0,6
2,PS,neg,-0.0306733167082,0.0598503740648,400,8,0,6
3,PS,neg,-0.0127182044888,0.0493765586035,400,8,0,6
4,PS,neg,-0.0216957605985,0.0718204488778,400,8,0,6
5,PS,neg,-0.00074812967581,0.07630922693271,400,8,0,6
6,PS,neg,0.00673316708229,0.07182044887781,400,8,0,6
7,PS,neg,0.00374064837905,0.04937655860345,400,8,0,6
8,PS,neg,0.00673316708229,0.05236907730671,400,8,0,6
9,PS,neg,0.00374064837905,0.05236907730675,400,8,0,6
10,PS,neg,0.00224438902743,0.07032418952617,400,8,0,6
11,PS,neg,0.00673316708229,0.06583541147131,400,8,0,6
0,SC,neg,0.0905236907731,0.0433915211969,400,8,-32,6
1,SC,neg,0.0755610972569,0.0433915211971,400,8,-32,6
2,SC,neg,0.0471321695761,0.0583541147129,400,8,-32,6
3,SC,neg,0.0142144638404,0.0583541147132,400,8,-32,6
4,SC,neg,-0.00374064837905,0.06284289276805,400,8,-32,6
5,SC,neg,-0.0112219451372,0.05536159601,400,8,-32,6
6,SC,neg,0.00523690773067,0.05087281795513,400,8,-32,6
7,SC,neg,0.00074812967581,0.05835411471319,400,8,-32,6
8,SC,neg,-0.00374064837905,0.05685785536155,400,8,-32,6
9,SC,neg,-0.00374064837905,0.05087281795515,400,8,-32,6
10,SC,neg,-0.0201995012469,0.0493765586035,400,8,-32,6
11,SC,neg,-0.0112219451372,0.0463840399003,400,8,-32,6
0,PS,neg,0.0739535661296,0.0748124464504,600,8,-48,6
1,PS,neg,-0.0353979896767,0.0598499571605,600,8,0,6
2,PS,neg,-0.0325308758072,0.0763086953796,600,8,0,6
3,PS,neg,-0.0251750151506,0.0793011932377,600,8,0,6
4,PS,neg,-0.0223058115479,0.0583537082315,600,8,0,6
5,PS,neg,-0.0164441100871,0.0523687125154,600,8,0,6
6,PS,neg,0.00587423985957,0.07182203832573,600,8,0,6
7,PS,neg,-0.000234050111801,0.061348295822601,600,8,0,6
8,PS,neg,-0.00335193195829,0.07032578939669,600,8,0,6
9,PS,neg,0.0114851733434,0.0748124464506,600,8,0,6
10,PS,neg,-0.0125781037761,0.0733161975215,600,8,0,6
11,PS,neg,-0.0156959856226,0.0538649614444,600,8,0,6
0,SC,neg,0.0799113953148,0.0718220383262,600,8,-48,6
1,SC,neg,0.0588406160533,0.0613462060897,600,8,-48,6
2,SC,neg,0.0407602449167,0.0628424550183,600,8,-48,6
3,SC,neg,0.0152007188682,0.0643387039475,600,8,-48,6
4,SC,neg,0.0150753348797,0.0643387039475,600,8,-48,6
5,SC,neg,0.00747079597935,0.07032578939665,600,8,-48,6
6,SC,neg,0.00435500386601,0.07780494430859,600,8,-48,6
7,SC,neg,-0.00774037155455,0.04937621465735,600,8,-48,6
8,SC,neg,0.00560048481809,0.06882536100141,600,8,-48,6
9,SC,neg,-0.00799322926462,0.06134829582262,600,8,-48,6
10,SC,neg,-0.011109021378,0.0703236996636,600,8,-48,6
11,SC,neg,-0.00225691179236,0.07331619752156,600,8,-48,6
0,PS,pos,-0.0553870292887,0.05400209205021,400,8,32,6
1,PS,pos,0.0167384937238,0.0825020920503,400,8,0,6
2,PS,pos,0.0468640167364,0.0540020920506,400,8,0,6
3,PS,pos,0.0154874476987,0.0495020920503,400,8,0,6
4,PS,pos,0.0036129707113,0.057,400,8,0,6
5,PS,pos,0.0172343096234,0.0525020920502,400,8,0,6
6,PS,pos,0.00685983263598,0.04200209205022,400,8,0,6
7,PS,pos,0.0189874476987,0.0449979079498,400,8,0,6
8,PS,pos,0.0071129707113,0.0495020920502,400,8,0,6
9,PS,pos,0.00723640167364,0.05550209205016,400,8,0,6
10,PS,pos,0.0118640167364,0.0465,400,8,0,6
11,PS,pos,0.0209874476987,0.0450020920503,400,8,0,6
0,SC,pos,-0.0613619246862,0.051,400,8,32,6
1,SC,pos,-0.0522343096234,0.0734979079498,400,8,32,6
2,SC,pos,-0.00711087866109,0.06749999999999,400,8,32,6
3,SC,pos,0.0305125523013,0.0705020920497,400,8,32,6
4,SC,pos,0.0321380753138,0.0675,400,8,32,6
5,SC,pos,0.0217615062762,0.0495,400,8,32,6
6,SC,pos,0.0128870292887,0.0675,400,8,32,6
7,SC,pos,0.0115125523013,0.0645,400,8,32,6
8,SC,pos,0.0191359832636,0.0630020920502,400,8,32,6
9,SC,pos,0.0267594142259,0.0690020920503,400,8,32,6
10,SC,pos,-0.000112970711297,0.051002092050197,400,8,32,6
11,SC,pos,-0.00748953974895,0.04950209205025,400,8,32,6
0,PS,pos,-0.0684210526316,0.06015037593987,600,8,48,6
1,PS,pos,0.0263157894737,0.0571428571428,600,8,0,6
2,PS,pos,0.0278195488722,0.0601503759398,600,8,0,6
3,PS,pos,0.0112781954887,0.0691729323308,600,8,0,6
4,PS,pos,0.000751879699248,0.061654135338352,600,8,0,6
5,PS,pos,-0.00225563909774,0.06015037593984,600,8,0,6
6,PS,pos,-0.000751879699248,0.067669172932348,600,8,0,6
7,PS,pos,0.0172932330827,0.0706766917293,600,8,0,6
8,PS,pos,0.0278195488722,0.0661654135338,600,8,0,6
9,PS,pos,0.00827067669173,0.06466165413537,600,8,0,6
10,PS,pos,0.00676691729323,0.05563909774437,600,8,0,6
11,PS,pos,-0.0203007518797,0.0646616541353,600,8,0,6
0,SC,pos,-0.0729323308271,0.07819548872184,600,8,48,6
1,SC,pos,-0.0263157894737,0.0842105263158,600,8,48,6
2,SC,pos,-0.000751879699248,0.078195488721848,600,8,48,6
3,SC,pos,-0.000751879699248,0.081203007518748,600,8,48,6
4,SC,pos,0.00676691729323,0.07669172932327,600,8,48,6
5,SC,pos,-0.00375939849624,0.08120300751884,600,8,48,6
6,SC,pos,0.000751879699248,0.067669172932352,600,8,48,6
7,SC,pos,0.0112781954887,0.0751879699248,600,8,48,6
8,SC,pos,0.0172932330827,0.0917293233083,600,8,48,6
9,SC,pos,0.00676691729323,0.06616541353387,600,8,48,6
10,SC,pos,0.0187969924812,0.0751879699248,600,8,48,6
11,SC,pos,0.00225563909774,0.06766917293236,600,8,48,6
0,PS,pos,-0.123212164575,0.070324189526,400,15,60,6
1,PS,pos,0.0161900263269,0.1182044887779,400,15,0,6
2,PS,pos,0.0852680277023,0.0673358386767,400,15,0,6
3,PS,pos,0.0406303183545,0.0478761313986,400,15,0,6
4,PS,pos,0.0109468668162,0.0583582825666,400,15,0,6
5,PS,pos,0.00521190061059,0.05685368750821,400,15,0,6
6,PS,pos,0.0114428413646,0.0613466334165,400,15,0,6
7,PS,pos,0.013189171917,0.0718162810245,400,15,0,6
8,PS,pos,0.00296959550983,0.06433498426633,400,15,0,6
9,PS,pos,0.00321966671066,0.05236907730674,400,15,0,6
10,PS,pos,-0.00251946734834,0.05087698580844,400,15,0,6
11,PS,pos,-0.00376982335248,0.06133829770972,400,15,0,6
0,SC,pos,-0.120169631631,0.0748087997275,400,15,60,6
1,SC,pos,-0.0989760973611,0.1092227648149,400,15,60,6
2,SC,pos,0.0134975930647,0.0628428927681,400,15,60,6
3,SC,pos,0.0571350176092,0.0598503740648,400,15,60,6
4,SC,pos,0.0469071054953,0.0598545419177,400,15,60,6
5,SC,pos,0.0441688258462,0.0763050590798,400,15,60,6
6,SC,pos,0.0174820608646,0.0598462062114,400,15,60,6
7,SC,pos,0.03119846623,0.0613382977097,400,15,60,6
8,SC,pos,0.0179822032662,0.05536159601,400,15,60,6
9,SC,pos,0.00925471835731,0.03740648379049,400,15,60,6
10,SC,pos,0.0154898269646,0.0688320980279,400,15,60,6
11,SC,pos,0.0172319896637,0.0763050590793,400,15,60,6
0,PS,neg,0.161538461538,0.056575682383,400,15,-60,6
1,PS,neg,0.0111662531017,0.0550868486353,400,15,0,6
2,PS,neg,-0.0558312655087,0.06401985111664,400,15,0,6
3,PS,neg,-0.0483870967742,0.0640198511166,400,15,0,6
4,PS,neg,-0.0200992555831,0.059553349876,400,15,0,6
5,PS,neg,-0.00818858560794,0.06253101736976,400,15,0,6
6,PS,neg,-0.02158808933,0.0521091811415,400,15,0,6
7,PS,neg,-0.00967741935484,0.05062034739456,400,15,0,6
8,PS,neg,-0.00372208436725,0.05657568238215,400,15,0,6
9,PS,neg,-0.00372208436725,0.05359801488835,400,15,0,6
10,PS,neg,-0.00669975186104,0.05955334987594,400,15,0,6
11,PS,neg,-0.000744416873449,0.050620347394551,400,15,0,6
0,SC,neg,0.176426799007,0.053598014889,400,15,-60,6
1,SC,neg,0.186848635236,0.056575682382,400,15,-60,6
2,SC,neg,0.0707196029777,0.0729528535983,400,15,-60,6
3,SC,neg,0.00967741935484,0.05210918114144,400,15,-60,6
4,SC,neg,-0.0200992555831,0.0714640198511,400,15,-60,6
5,SC,neg,-0.0126550868486,0.0610421836229,400,15,-60,6
6,SC,neg,-0.00372208436725,0.04466501240695,400,15,-60,6
7,SC,neg,0.0111662531017,0.0476426799008,400,15,-60,6
8,SC,neg,-0.000744416873449,0.058064516129049,400,15,-60,6
9,SC,neg,-0.00521091811414,0.05806451612906,400,15,-60,6
10,SC,neg,-0.0126550868486,0.0625310173698,400,15,-60,6
11,SC,neg,-0.00372208436725,0.05508684863525,400,15,-60,6
0,PS,neg,0.153621216918,0.070146922218,600,15,-90,6
1,PS,neg,-0.0599382112577,0.0805967345207,600,15,0,6
2,PS,neg,-0.0391680090178,0.0626863490716,600,15,0,6
3,PS,neg,0.00697523927482,0.09253699148668,600,15,0,6
4,PS,neg,-0.00807324192589,0.09850711996969,600,15,0,6
5,PS,neg,-0.00222627343606,0.07611913815836,600,15,0,6
6,PS,neg,0.00212607547551,0.08059673452059,600,15,0,6
7,PS,neg,-0.00247468087993,0.08358388621963,600,15,0,6
8,PS,neg,-0.0234974654787,0.0671660328914,600,15,0,6
9,PS,neg,-0.0191451165671,0.0641809686499,600,15,0,6
10,PS,neg,0.003119705251,0.0716436292536,600,15,0,6
11,PS,neg,-0.00745326704496,0.06567350077066,600,15,0,6
0,SC,neg,0.168519401178,0.067163945434,600,15,-90,6
1,SC,neg,0.0863069745435,0.0791042023995,600,15,-90,6
2,SC,neg,0.0354356349872,0.0805967345208,600,15,-90,6
3,SC,neg,0.00247468087993,0.05820875270937,600,15,-90,6
4,SC,neg,-0.00660784675279,0.06567350077059,600,15,-90,6
5,SC,neg,-0.00822145140921,0.05223862422631,600,15,-90,6
6,SC,neg,0.00210102598537,0.06417888119233,600,15,-90,6
7,SC,neg,-0.00697732673233,0.05522160101033,600,15,-90,6
8,SC,neg,-0.0175502990283,0.0626863490716,600,15,-90,6
9,SC,neg,-0.0161830143582,0.0552216010103,600,15,-90,6
10,SC,neg,-0.0103402207834,0.0776158451941,600,15,-90,6
11,SC,neg,-0.0119559128974,0.0597012848301,600,15,-90,6
0,PS,pos,-0.128041374801,0.0403988619844,600,15,90,6
1,PS,pos,0.08879235387,0.073314366405,600,15,0,6
2,PS,pos,0.0497624496553,0.0643389283457,600,15,0,6
3,PS,pos,0.0047517025021,0.0718201990832,600,15,0,6
4,PS,pos,-0.0178194060894,0.0568618312593,600,15,0,6
5,PS,pos,-0.0104591712519,0.0493763868697,600,15,0,6
6,PS,pos,-0.00609353153542,0.05985016590262,600,15,0,6
