Relative_beep,Type,Sign,Condition,Perturb_size,Asyn_zeroed,n_beeps
-10,SC,pos,SCpos,50,-2.9765013055,NaN
-9,SC,pos,SCpos,50,1.2010443864,NaN
-8,SC,pos,SCpos,50,2.0365535248,NaN
-7,SC,pos,SCpos,50,-1.9321148825,NaN
-6,SC,pos,SCpos,50,-0.8877284595,NaN
-5,SC,pos,SCpos,50,2.0365535248,NaN
-4,SC,pos,SCpos,50,3.0809399478,NaN
-3,SC,pos,SCpos,50,-1.9321148825,NaN
-2,SC,pos,SCpos,50,-0.0522193211000008,NaN
-1,SC,pos,SCpos,50,-4.0208877285,NaN
0,SC,pos,SCpos,50,-55.6135770235,10
1,SC,pos,SCpos,50,-47.2584856397,10
2,SC,pos,SCpos,50,13.94255874674,NaN
3,SC,pos,SCpos,50,16.03133159269,NaN
4,SC,pos,SCpos,50,10.18276762402,NaN
5,SC,pos,SCpos,50,14.98694516971,NaN
6,SC,pos,SCpos,50,1.2010443864,NaN
7,SC,pos,SCpos,50,3.0809399478,NaN
8,SC,pos,SCpos,50,3.0809399478,NaN
9,SC,pos,SCpos,50,2.0365535248,NaN
10,SC,pos,SCpos,50,2.0365535248,NaN
11,SC,pos,SCpos,50,0.9921671018,NaN
12,SC,pos,SCpos,50,-2.9765013055,NaN
13,SC,pos,SCpos,50,2.8720626632,NaN
14,SC,pos,SCpos,50,0.156657963400001,NaN
15,SC,pos,SCpos,50,2.8720626632,NaN
16,SC,pos,SCpos,50,-0.8877284595,NaN
17,SC,pos,SCpos,50,2.0365535248,NaN
18,SC,pos,SCpos,50,0.9921671018,NaN
19,SC,pos,SCpos,50,0.9921671018,NaN
20,SC,pos,SCpos,50,-0.8877284595,NaN
21,SC,pos,SCpos,50,3.0809399478,NaN
22,SC,pos,SCpos,50,1.8276762402,NaN
23,SC,pos,SCpos,50,0.156657963400001,NaN
24,SC,pos,SCpos,50,0.9921671018,NaN
-10,SC,neg,SCneg,-50,-1.2007775511,NaN
-9,SC,neg,SCneg,-50,0.0076985257000004,NaN
-8,SC,neg,SCneg,-50,1.9390661688,NaN
-7,SC,neg,SCneg,-50,2.1844566765,NaN
-6,SC,neg,SCneg,-50,-2.8715500982,NaN
-5,SC,neg,SCneg,-50,1.7108048809,NaN
-4,SC,neg,SCneg,-50,-1.1767196582,NaN
-3,SC,neg,SCneg,-50,0.755032911200001,NaN
-2,SC,neg,SCneg,-50,2.9275568729,NaN
-1,SC,neg,SCneg,-50,1.9677431772,NaN
0,SC,neg,SCneg,-50,65.1043150237,10
1,SC,neg,SCneg,-50,74.7469109665,10
2,SC,neg,SCneg,-50,62.4596789715,NaN
3,SC,neg,SCneg,-50,50.1724469764,NaN
4,SC,neg,SCneg,-50,37.4055968282,NaN
5,SC,neg,SCneg,-50,17.89156626506,NaN
6,SC,neg,SCneg,-50,9.943608299,NaN
7,SC,neg,SCneg,-50,5.855498672,NaN
8,SC,neg,SCneg,-50,8.7509141999,NaN
9,SC,neg,SCneg,-50,0.0802571307999997,NaN
10,SC,neg,SCneg,-50,9.9636244659,NaN
11,SC,neg,SCneg,-50,9.9676661919,NaN
12,SC,neg,SCneg,-50,3.2247199661,NaN
13,SC,neg,SCneg,-50,7.0841833789,NaN
14,SC,neg,SCneg,-50,-2.0684014011,NaN
15,SC,neg,SCneg,-50,-5.919973825,NaN
16,SC,neg,SCneg,-50,-5.9157396359,NaN
17,SC,neg,SCneg,-50,-4.947650025,NaN
18,SC,neg,SCneg,-50,-4.221101659,NaN
19,SC,neg,SCneg,-50,-6.1447707764,NaN
20,SC,neg,SCneg,-50,-3.9720543516,NaN
21,SC,neg,SCneg,-50,-4.208976481,NaN
22,SC,neg,SCneg,-50,-0.1083567497,NaN
23,SC,neg,SCneg,-50,1.8232033566,NaN
24,SC,neg,SCneg,-50,-0.100465760800002,NaN
