,Experiment,Subject,Total_trials,Total_outliers,Total_outlier_trials_porc
0,0,0,72,4,5.555555555555555
1,1,0,60,7,11.666666666666666
2,1,1,60,4,6.666666666666667
3,1,2,60,5,8.333333333333334
4,1,3,60,9,15.0
5,1,4,60,2,3.3333333333333335
6,1,5,60,2,3.3333333333333335
7,1,6,60,8,13.333333333333334
8,1,7,60,4,6.666666666666667
9,1,9,60,5,8.333333333333334
10,1,10,60,2,3.3333333333333335
11,1,11,60,5,8.333333333333334
12,1,12,60,5,8.333333333333334
13,1,13,60,9,15.0
14,1,14,60,4,6.666666666666667
15,1,16,60,5,8.333333333333334
16,1,17,60,5,8.333333333333334
17,1,18,60,3,5.0
18,1,19,60,8,13.333333333333334
19,2,0,60,7,11.666666666666666
20,2,1,60,4,6.666666666666667
21,2,2,60,5,8.333333333333334
22,2,3,60,8,13.333333333333334
23,2,4,60,9,15.0
24,2,5,60,9,15.0
25,2,6,60,3,5.0
26,2,7,60,8,13.333333333333334
27,2,8,59,6,10.169491525423728
28,2,9,60,7,11.666666666666666
29,2,10,60,4,6.666666666666667
30,2,11,60,5,8.333333333333334
31,2,12,60,5,8.333333333333334
32,2,13,60,8,13.333333333333334
33,2,14,60,3,5.0
34,2,15,60,4,6.666666666666667
35,2,16,60,1,1.6666666666666667
36,2,17,60,4,6.666666666666667
37,3,0,72,7,9.722222222222221
38,3,1,72,5,6.944444444444445
39,3,2,72,7,9.722222222222221
40,3,3,72,7,9.722222222222221
41,3,4,72,1,1.3888888888888888
42,3,6,72,8,11.11111111111111
43,3,9,72,6,8.333333333333334
44,3,10,72,6,8.333333333333334
45,3,11,72,6,8.333333333333334
46,3,12,72,4,5.555555555555555
47,3,13,72,11,15.277777777777779
48,3,14,72,7,9.722222222222221
49,3,15,72,6,8.333333333333334
50,3,16,72,5,6.944444444444445
51,3,17,72,3,4.166666666666667
52,3,18,72,4,5.555555555555555
53,3,19,72,3,4.166666666666667
54,3,20,72,9,12.5
