,Experiment,Subject,Condition,Total_outlier_trial_mean,Total_outlier_trial_std,Total_outlier,Total_trials,Total_outlier_trial_porc
0,0,0,4,2,1,3,12,25.0
1,0,0,5,1,0,1,12,8.333333333333334
2,1,0,0,1,2,3,12,25.0
3,1,0,1,0,1,1,12,8.333333333333334
4,1,0,2,1,0,1,12,8.333333333333334
5,1,0,4,0,2,2,12,16.666666666666668
6,1,1,0,2,0,2,12,16.666666666666668
7,1,1,3,2,0,2,12,16.666666666666668
8,1,2,0,1,0,1,12,8.333333333333334
9,1,2,1,0,1,1,12,8.333333333333334
10,1,2,2,2,0,2,12,16.666666666666668
11,1,2,3,0,1,1,12,8.333333333333334
12,1,3,0,2,0,2,12,16.666666666666668
13,1,3,1,1,0,1,12,8.333333333333334
14,1,3,2,1,2,3,12,25.0
15,1,3,3,0,1,1,12,8.333333333333334
16,1,3,4,1,1,2,12,16.666666666666668
17,1,4,4,0,2,2,12,16.666666666666668
18,1,5,0,0,1,1,12,8.333333333333334
19,1,5,3,1,0,1,12,8.333333333333334
20,1,6,0,0,1,1,12,8.333333333333334
21,1,6,1,1,0,1,12,8.333333333333334
22,1,6,2,0,2,2,12,16.666666666666668
23,1,6,3,0,1,1,12,8.333333333333334
24,1,6,4,3,0,3,12,25.0
25,1,7,2,0,1,1,12,8.333333333333334
26,1,7,3,1,0,1,12,8.333333333333334
27,1,7,4,1,1,2,12,16.666666666666668
28,1,9,0,2,0,2,12,16.666666666666668
29,1,9,3,1,1,2,12,16.666666666666668
30,1,9,4,0,1,1,12,8.333333333333334
31,1,10,2,0,1,1,12,8.333333333333334
32,1,10,4,0,1,1,12,8.333333333333334
33,1,11,0,0,1,1,12,8.333333333333334
34,1,11,1,1,1,1,12,8.333333333333334
35,1,11,2,0,1,1,12,8.333333333333334
36,1,11,4,0,2,2,12,16.666666666666668
37,1,12,0,1,0,1,12,8.333333333333334
38,1,12,1,2,0,2,12,16.666666666666668
39,1,12,2,1,0,1,12,8.333333333333334
40,1,12,3,1,0,1,12,8.333333333333334
41,1,13,0,1,2,2,12,16.666666666666668
