S 0 2472812
S 1 2473312
R 0 2473637
S 2 2473812
R 1 2474160
S 3 2474312
R 2 2474639
S 4 2474812
R 3 2475139
S 5 2475312
R 4 2475624
S 6 2475812
R 5 2476104
S 7 2476312
R 6 2476596
S 8 2476812
R 7 2477091
S 9 2477312
R 8 2477617
S 10 2477812
R 9 2478127
S 11 2478312
R 10 2478639
S 12 2478812
R 11 2479169
S 13 2479312
R 12 2479759
S 14 2479812
R 13 2480293
S 15 2480312
R 14 2480786
S 16 2480812
R 15 2481254
S 17 2481362
S 18 2481862
R 16 2482343
S 19 2482362
R 17 2482837
S 20 2482862
S 21 2483362
S 22 2483862
R 18 2484325
S 23 2484362
R 19 2484798
S 24 2484862
R 20 2485343
S 25 2485362
R 21 2485756
S 26 2485862
S 27 2486362
R 22 2486611
S 28 2486862
R 23 2487105
S 29 2487362
R 24 2487539
S 30 2487862
R 25 2487873
S 31 2488363
R 26 2488377
S 32 2488863
R 27 2488875
R 28 2489335
S 33 2489363
R 29 2489781
S 34 2489863
