,Trial,Block,Subject,Original_trial,Condition,Perturb_type,Perturb_size,Perturb_bip,Valid_trial,Message,Error
0,0,0,0,0,1,0,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T0;X,NoError
1,1,0,0,1,4,1,0,18,0,;SB;FB;NB;A125;I500;n35;P0;B18;T1;X,SkipStim
2,2,0,0,2,1,0,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T0;X,NoError
3,3,0,0,3,0,0,-50,21,0,;SB;FB;NB;A125;I500;n35;P-50;B21;T0;X,SkipStim
4,4,0,0,4,5,1,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T1;X,NoError
5,5,0,0,5,0,0,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T0;X,NoError
6,6,0,0,6,4,1,0,19,0,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,SkipStim
7,7,0,0,7,5,1,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,NoError
8,8,0,0,8,5,1,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T1;X,NoError
9,9,0,0,9,5,1,50,20,0,;SB;FB;NB;A125;I500;n35;P50;B20;T1;X,NonAssignedResp
10,10,0,0,10,2,0,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T0;X,NonAssignedResp
11,11,0,0,11,4,1,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T1;X,NoError
12,12,0,0,12,5,1,50,21,0,;SB;FB;NB;A125;I500;n35;P50;B21;T1;X,SkipStim
13,13,0,0,13,0,0,-50,17,0,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,SkipStim
14,14,0,0,14,2,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,SkipStim
15,15,0,0,15,5,1,50,18,0,;SB;FB;NB;A125;I500;n35;P50;B18;T1;X,NonAssignedResp
16,16,0,0,16,5,1,50,20,1,;SB;FB;NB;A125;I500;n35;P50;B20;T1;X,NoError
17,17,0,0,17,1,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
18,18,0,0,18,2,0,50,20,0,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NonAssignedResp
19,19,0,0,19,2,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,SkipStim
20,20,0,0,20,1,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
21,21,0,0,21,0,0,-50,17,0,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,SkipStim
22,22,0,0,22,4,1,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,NoError
23,23,0,0,23,0,0,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,NoError
24,24,0,0,1,4,1,0,18,0,;SB;FB;NB;A125;I500;n35;P0;B18;T1;X,NoFirstResp
25,25,0,0,3,0,0,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T0;X,NoError
26,26,0,0,6,4,1,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,NoError
27,27,0,0,9,5,1,50,20,1,;SB;FB;NB;A125;I500;n35;P50;B20;T1;X,NoError
28,28,0,0,10,2,0,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T0;X,NonAssignedResp
29,29,0,0,12,5,1,50,21,0,;SB;FB;NB;A125;I500;n35;P50;B21;T1;X,NonAssignedResp
30,30,0,0,13,0,0,-50,17,0,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,SkipStim
31,31,0,0,14,2,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
32,32,0,0,15,5,1,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T1;X,NoError
33,33,0,0,18,2,0,50,20,1,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NoError
34,34,0,0,19,2,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
