Trial,Block,Subject,Original_trial,Condition,Perturb_type,Perturb_size,Perturb_bip,Valid_trial,Message,Error
0,0,6,0,0,0,-50,18,0,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NonAssignedResp
1,0,6,1,2,0,50,21,0,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NonAssignedResp
2,0,6,2,1,0,0,20,0,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,NoFirstResp
3,0,6,3,2,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
4,0,6,4,3,1,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T1;X,NoError
5,0,6,5,1,0,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T0;X,NoError
6,0,6,6,2,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
7,0,6,7,2,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
8,0,6,8,5,1,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T1;X,NoError
9,0,6,9,3,1,-50,17,0,;SB;FB;NB;A125;I500;n35;P-50;B17;T1;X,NonAssignedResp
10,0,6,10,1,0,0,19,0,;SB;FB;NB;A125;I500;n35;P0;B19;T0;X,NonAssignedResp
11,0,6,11,4,1,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T1;X,NoError
12,0,6,12,1,0,0,18,0,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NonAssignedResp
13,0,6,13,1,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
14,0,6,14,4,1,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T1;X,SkipStim
15,0,6,15,0,0,-50,18,0,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NonAssignedResp
16,0,6,16,1,0,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NonAssignedResp
17,0,6,17,3,1,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T1;X,NoError
18,0,6,18,3,1,-50,19,1,;SB;FB;NB;A125;I500;n35;P-50;B19;T1;X,NoError
19,0,6,19,5,1,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,NonAssignedResp
20,0,6,20,5,1,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T1;X,NonAssignedResp
21,0,6,21,5,1,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,SkipStim
22,0,6,22,0,0,-50,18,0,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,SkipStim
23,0,6,23,4,1,0,19,0,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,SkipStim
24,0,6,0,0,0,-50,18,0,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NonAssignedResp
25,0,6,1,2,0,50,21,0,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,SkipStim
26,0,6,2,1,0,0,20,0,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,SkipStim
27,0,6,9,3,1,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T1;X,NoError
28,0,6,10,1,0,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T0;X,NoError
29,0,6,12,1,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
30,0,6,14,4,1,0,17,0,;SB;FB;NB;A125;I500;n35;P0;B17;T1;X,NonAssignedResp
31,0,6,15,0,0,-50,18,0,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NonAssignedResp
32,0,6,16,1,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
33,0,6,19,5,1,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,NoError
34,0,6,20,5,1,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T1;X,NoError
35,0,6,21,5,1,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,SkipStim
36,0,6,22,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
37,0,6,23,4,1,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,NoError
38,0,6,0,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
39,0,6,1,2,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
40,0,6,2,1,0,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,NoError
41,0,6,14,4,1,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T1;X,NoError
42,0,6,15,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
43,0,6,21,5,1,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,SkipStim
44,0,6,21,5,1,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,SkipStim
45,0,6,21,5,1,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,NoError
