Trial,Block,Subject,Original_trial,Condition,Perturb_type,Perturb_size,Perturb_bip,Valid_trial,Message,Error
0,0,8,0,1,0,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T0;X,NoError
1,0,8,1,0,0,-50,19,0,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NonAssignedResp
2,0,8,2,3,0,20,20,0,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NonAssignedResp
3,0,8,3,3,0,20,20,0,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NonAssignedResp
4,0,8,4,2,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
5,0,8,5,3,0,20,20,0,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NonAssignedResp
6,0,8,6,4,0,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T0;X,NoError
7,0,8,7,0,0,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NoError
8,0,8,8,2,0,0,18,0,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NonAssignedResp
9,0,8,9,3,0,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NonAssignedResp
10,0,8,10,3,0,20,18,1,;SB;FB;NB;A125;I500;n35;P20;B18;T0;X,NoError
11,0,8,11,4,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NonAssignedResp
12,0,8,12,2,0,0,17,1,;SB;FB;NB;A125;I500;n35;P0;B17;T0;X,NoError
13,0,8,13,1,0,-20,21,1,;SB;FB;NB;A125;I500;n35;P-20;B21;T0;X,NoError
14,0,8,14,3,0,20,18,0,;SB;FB;NB;A125;I500;n35;P20;B18;T0;X,NonAssignedResp
15,0,8,15,0,0,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NoError
16,0,8,16,4,0,50,20,0,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NonAssignedResp
17,0,8,17,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
18,0,8,18,4,0,50,18,0,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NonAssignedResp
19,0,8,19,0,0,-50,20,0,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NonAssignedResp
20,0,8,1,0,0,-50,19,0,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NonAssignedResp
21,0,8,2,3,0,20,20,0,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,SkipStim
22,0,8,3,3,0,20,20,1,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NoError
23,0,8,5,3,0,20,20,1,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NoError
24,0,8,8,2,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
25,0,8,9,3,0,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NonAssignedResp
26,0,8,11,4,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NonAssignedResp
27,0,8,14,3,0,20,18,0,;SB;FB;NB;A125;I500;n35;P20;B18;T0;X,NonAssignedResp
28,0,8,16,4,0,50,20,0,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NonAssignedResp
29,0,8,18,4,0,50,18,0,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NonAssignedResp
30,0,8,19,0,0,-50,20,0,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NonAssignedResp
31,0,8,1,0,0,-50,19,0,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NonAssignedResp
32,0,8,2,3,0,20,20,0,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NonAssignedResp
33,0,8,9,3,0,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NonAssignedResp
34,0,8,11,4,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NonAssignedResp
35,0,8,14,3,0,20,18,1,;SB;FB;NB;A125;I500;n35;P20;B18;T0;X,NoError
36,0,8,16,4,0,50,20,0,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NonAssignedResp
37,0,8,18,4,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
38,0,8,19,0,0,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NoError
39,0,8,1,0,0,-50,19,0,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NonAssignedResp
40,0,8,2,3,0,20,20,0,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NonAssignedResp
41,0,8,9,3,0,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NonAssignedResp
42,0,8,11,4,0,50,17,0,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NonAssignedResp
43,0,8,16,4,0,50,20,1,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NoError
44,0,8,1,0,0,-50,19,1,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NoError
45,0,8,2,3,0,20,20,1,;SB;FB;NB;A125;I500;n35;P20;B20;T0;X,NoError
46,0,8,9,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
47,0,8,11,4,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
