,General_condition,Name,Condition,Perturb_type,Perturb_size,Experiment,Exp_name
0,0,SCneg2,0,0,-20,0,Experiment2_PS_SC
1,1,SCiso,1,0,0,0,Experiment2_PS_SC
2,2,SCpos2,2,0,20,0,Experiment2_PS_SC
3,3,PSneg2,3,1,-20,0,Experiment2_PS_SC
4,4,PSiso,4,1,0,0,Experiment2_PS_SC
5,5,PSpos2,5,1,20,0,Experiment2_PS_SC
6,6,SCneg,0,0,-50,1,Experiment_SC
7,7,SCneg2,1,0,-20,1,Experiment_SC
8,8,SCiso,2,0,0,1,Experiment_SC
9,9,SCpos2,3,0,20,1,Experiment_SC
10,10,SCpos,4,0,50,1,Experiment_SC
11,11,PSneg,0,1,-50,2,Experiment_PS
12,12,PSneg2,1,1,-20,2,Experiment_PS
13,13,PSiso,2,1,0,2,Experiment_PS
14,14,PSpos2,3,1,20,2,Experiment_PS
15,15,PSpos,4,1,50,2,Experiment_PS
16,16,SCneg,0,0,-50,3,Experiment_PS_SC
17,17,SCiso,1,0,0,3,Experiment_PS_SC
18,18,SCpos,2,0,50,3,Experiment_PS_SC
19,19,PSneg,3,1,-50,3,Experiment_PS_SC
20,20,PSiso,4,1,0,3,Experiment_PS_SC
21,21,PSpos,5,1,50,3,Experiment_PS_SC
