,Experiment_context,Experiment_type,Experiment_sign,Title,Relative_beep,Asyn_zeroed,ci_asyn,rejected
0,Pure,PS,neg,PS neg,-6,-4.136447811447812,2.8618211727591123,0
1,Pure,PS,neg,PS neg,-5,-2.4806902356902354,2.850440345868036,0
2,Pure,PS,neg,PS neg,-4,2.2789057239057238,2.3534611761771487,0
3,Pure,PS,neg,PS neg,-3,0.9969865319865322,2.8638242223359716,0
4,Pure,PS,neg,PS neg,-2,1.9021380471380473,2.3084109689450605,0
5,Pure,PS,neg,PS neg,-1,1.4391077441077442,2.5750558411334943,0
6,Pure,PS,neg,PS neg,0,16.386784511784512,2.946804230228601,0
7,Pure,PS,neg,PS neg,1,9.188097643097644,4.374713125811965,0
8,Pure,PS,neg,PS neg,2,3.506986531986532,4.701280768641295,0
9,Pure,PS,neg,PS neg,3,2.9182996632996634,4.379832862669107,0
10,Pure,PS,neg,PS neg,4,0.3724410774410774,4.647425751464029,0
11,Pure,PS,neg,PS neg,5,2.882946127946128,3.195491079410129,0
12,Pure,PS,neg,PS neg,6,0.8591077441077443,4.10379154477691,0
13,Pure,PS,neg,PS neg,7,0.5107239057239055,3.3215271035674436,0
14,Pure,PS,neg,PS neg,8,-1.3562457912457913,3.5834536714356195,0
15,Pure,PS,neg,PS neg,9,-1.5569528619528619,3.589850191609571,0
16,Pure,PS,neg,PS neg,10,-2.791296296296296,3.1932989239490066,0
17,Pure,PS,neg,PS neg,11,-0.8568518518518519,4.143893590736402,0
18,Combined,PS,neg,PS neg,-6,-3.442424242424242,2.3698181818181836,0
19,Combined,PS,neg,PS neg,-5,-1.0060606060606052,7.109454545454542,0
20,Combined,PS,neg,PS neg,-4,-3.2333333333333334,4.703999999999998,0
21,Combined,PS,neg,PS neg,-3,4.084848484848485,4.472363636363636,0
22,Combined,PS,neg,PS neg,-2,6.512121212121213,8.338909090909091,0
23,Combined,PS,neg,PS neg,-1,-2.915151515151515,3.367636363636363,0
24,Combined,PS,neg,PS neg,0,43.81666666666667,32.04599999999999,0
25,Combined,PS,neg,PS neg,1,37.657575757575756,47.64581818181817,0
26,Combined,PS,neg,PS neg,2,19.26212121212121,39.20890909090908,0
27,Combined,PS,neg,PS neg,3,-1.6469696969696965,13.550727272727272,0
28,Combined,PS,neg,PS neg,4,4.1030303030303035,32.66072727272727,0
29,Combined,PS,neg,PS neg,5,10.966666666666665,42.727999999999994,0
30,Combined,PS,neg,PS neg,6,5.734848484848485,7.706363636363637,0
31,Combined,PS,neg,PS neg,7,-2.8833333333333333,7.742,0
32,Combined,PS,neg,PS neg,8,1.3621212121212123,21.764909090909093,0
33,Combined,PS,neg,PS neg,9,4.757575757575758,22.361818181818183,0
34,Combined,PS,neg,PS neg,10,1.2984848484848484,5.425636363636365,0
35,Combined,PS,neg,PS neg,11,-1.492424242424243,19.911818181818184,0
36,Pure,PS,pos,PS pos,-6,0.14457333754208768,2.4000283133365574,0
37,Pure,PS,pos,PS pos,-5,1.5092671506734006,1.9186483045763387,0
38,Pure,PS,pos,PS pos,-4,0.3550373526936026,2.2606930460961063,0
39,Pure,PS,pos,PS pos,-3,-1.5102088594276093,2.690108042461193,0
40,Pure,PS,pos,PS pos,-2,-0.45476378367003356,2.2093578123937228,0
41,Pure,PS,pos,PS pos,-1,-0.04390519781144786,3.268174378032936,0
42,Pure,PS,pos,PS pos,0,-20.631783985690234,3.8083109580165666,0
43,Pure,PS,pos,PS pos,1,-12.721556712962963,6.832508041478753,0
44,Pure,PS,pos,PS pos,2,-10.15496896043771,6.450533725590722,0
45,Pure,PS,pos,PS pos,3,-5.152806712962963,5.709166061820111,1
46,Pure,PS,pos,PS pos,4,-1.6681318392255893,5.937149882712625,0
47,Pure,PS,pos,PS pos,5,-2.2811053240740744,4.213017006540101,1
48,Pure,PS,pos,PS pos,6,-0.32867476851851846,5.1979648147308435,0
49,Pure,PS,pos,PS pos,7,1.953506418350168,3.9027069087855653,0
50,Pure,PS,pos,PS pos,8,3.7876131102693607,5.129674811200826,0
51,Pure,PS,pos,PS pos,9,5.752228009259259,3.1099443154888444,0
52,Pure,PS,pos,PS pos,10,5.297461595117846,4.71019512722681,0
53,Pure,PS,pos,PS pos,11,4.145330913299663,4.165126988479181,0
54,Combined,PS,pos,PS pos,-6,-5.186111111111111,5.319222222222224,0
55,Combined,PS,pos,PS pos,-5,-3.302777777777778,0.9745555555555552,0
56,Combined,PS,pos,PS pos,-4,-2.1527777777777777,20.879444444444445,0
57,Combined,PS,pos,PS pos,-3,-4.711111111111111,10.758222222222221,0
58,Combined,PS,pos,PS pos,-2,13.113888888888887,8.988777777777777,0
59,Combined,PS,pos,PS pos,-1,2.2388888888888885,12.816222222222219,0
60,Combined,PS,pos,PS pos,0,-45.386111111111106,12.571222222222218,0
61,Combined,PS,pos,PS pos,1,-13.694444444444445,13.12111111111111,0
62,Combined,PS,pos,PS pos,2,5.338888888888889,3.059777777777778,0
63,Combined,PS,pos,PS pos,3,18.072222222222223,20.329555555555554,1
64,Combined,PS,pos,PS pos,4,22.980555555555558,36.02588888888889,0
65,Combined,PS,pos,PS pos,5,18.430555555555557,13.583888888888888,1
66,Combined,PS,pos,PS pos,6,10.180555555555555,32.69388888888889,0
67,Combined,PS,pos,PS pos,7,13.888888888888888,15.462222222222218,0
68,Combined,PS,pos,PS pos,8,11.938888888888886,9.48422222222222,0
69,Combined,PS,pos,PS pos,9,4.572222222222222,4.649555555555554,0
70,Combined,PS,pos,PS pos,10,11.697222222222221,25.474555555555554,0
71,Combined,PS,pos,PS pos,11,17.76388888888889,41.67722222222221,0
72,Pure,SC,neg,SC neg,-6,-3.7316835016835017,2.775236784226664,0
73,Pure,SC,neg,SC neg,-5,0.3679124579124576,1.5911587633620663,0
74,Pure,SC,neg,SC neg,-4,0.8960942760942758,1.5230101922032524,0
75,Pure,SC,neg,SC neg,-3,0.25811447811447796,2.2883303471745506,0
76,Pure,SC,neg,SC neg,-2,-0.0566329966329968,2.4575712686048097,0
77,Pure,SC,neg,SC neg,-1,2.266195286195286,3.6950715041730997,0
78,Pure,SC,neg,SC neg,0,21.056296296296296,4.005856842020842,0
79,Pure,SC,neg,SC neg,1,22.220538720538723,3.3095683433650245,1
80,Pure,SC,neg,SC neg,2,20.885993265993264,4.583427718201358,1
81,Pure,SC,neg,SC neg,3,20.33144781144781,5.478012463465602,1
82,Pure,SC,neg,SC neg,4,18.18074074074074,7.053718252827621,0
83,Pure,SC,neg,SC neg,5,14.64942760942761,6.3003513295715114,0
84,Pure,SC,neg,SC neg,6,14.036801346801347,5.877383960031752,0
85,Pure,SC,neg,SC neg,7,13.947811447811448,5.179587877705815,0
86,Pure,SC,neg,SC neg,8,10.81973063973064,5.044327607143638,0
87,Pure,SC,neg,SC neg,9,8.918518518518518,5.352974424448672,0
88,Pure,SC,neg,SC neg,10,5.480033670033669,3.8112380316994723,0
89,Pure,SC,neg,SC neg,11,4.011851851851852,4.391705137754391,0
90,Combined,SC,neg,SC neg,-6,-7.884469696969697,27.74810606060606,0
91,Combined,SC,neg,SC neg,-5,-4.270833333333333,12.290833333333332,0
92,Combined,SC,neg,SC neg,-4,5.119318181818182,4.398863636363635,0
93,Combined,SC,neg,SC neg,-3,5.244318181818182,15.446136363636361,0
94,Combined,SC,neg,SC neg,-2,-6.285984848484849,11.912196969696968,0
95,Combined,SC,neg,SC neg,-1,8.077651515151516,17.0794696969697,0
96,Combined,SC,neg,SC neg,0,60.145833333333336,19.885833333333338,0
97,Combined,SC,neg,SC neg,1,79.3465909090909,36.315681818181815,1
98,Combined,SC,neg,SC neg,2,59.15719696969697,7.613560606060602,1
99,Combined,SC,neg,SC neg,3,55.90719696969697,5.163560606060603,1
100,Combined,SC,neg,SC neg,4,21.66856060606061,2.2012878787878787,0
101,Combined,SC,neg,SC neg,5,4.7481060606060606,1.3846212121212114,0
102,Combined,SC,neg,SC neg,6,1.4715909090909092,14.39931818181818,0
103,Combined,SC,neg,SC neg,7,7.350378787878788,34.41507575757576,0
