,Experiment_context,Experiment_type,Experiment_sign,Title,Relative_beep,Asyn_zeroed,ci_asyn,rejected
0,Pure,PS,neg,PS neg,-6,1.3093329124579125,2.707244557336185,0
1,Pure,PS,neg,PS neg,-5,-0.43899410774410774,2.5011559602210753,0
2,Pure,PS,neg,PS neg,-4,0.8281460437710438,2.8739722842465856,0
3,Pure,PS,neg,PS neg,-3,-0.6620686026936027,2.3061069465096993,0
4,Pure,PS,neg,PS neg,-2,0.1667824074074073,2.638726930726018,0
5,Pure,PS,neg,PS neg,-1,-1.2031986531986532,2.046874451310769,0
6,Pure,PS,neg,PS neg,0,48.43755260942761,4.706102286024514,0
7,Pure,PS,neg,PS neg,1,17.806460437710438,7.001478927271429,0
8,Pure,PS,neg,PS neg,2,8.510248316498316,6.982564471884119,1
9,Pure,PS,neg,PS neg,3,4.412015993265993,6.066615250571411,1
10,Pure,PS,neg,PS neg,4,0.25920664983164976,5.046757934300294,0
11,Pure,PS,neg,PS neg,5,5.4825652356902355,4.3440538183593365,0
12,Pure,PS,neg,PS neg,6,2.842287457912458,4.221294989873989,1
13,Pure,PS,neg,PS neg,7,1.7044086700336698,4.292541027947055,0
14,Pure,PS,neg,PS neg,8,0.2991372053872054,3.530891697214798,0
15,Pure,PS,neg,PS neg,9,-0.8963489057239056,2.87702535255486,0
16,Pure,PS,neg,PS neg,10,-1.5915509259259262,4.129575787544994,0
17,Pure,PS,neg,PS neg,11,-4.312573653198653,3.639003274888124,0
18,Combined,PS,neg,PS neg,-6,-0.4093294051627383,2.7605408239324114,0
19,Combined,PS,neg,PS neg,-5,-1.2717031425364758,2.0839525205760787,0
20,Combined,PS,neg,PS neg,-4,-0.8142957351290683,2.145264476862236,0
21,Combined,PS,neg,PS neg,-3,1.4506874298540966,2.270467031300773,0
22,Combined,PS,neg,PS neg,-2,0.47324635241301927,2.6891548841302932,0
23,Combined,PS,neg,PS neg,-1,0.5713945005611674,2.3820480923037803,0
24,Combined,PS,neg,PS neg,0,52.71280864197531,3.990520158281698,0
25,Combined,PS,neg,PS neg,1,6.355232884399551,10.49817687916026,0
26,Combined,PS,neg,PS neg,2,-3.4598344556677887,8.371649620681135,1
27,Combined,PS,neg,PS neg,3,-5.04081088664422,5.647528807985267,1
28,Combined,PS,neg,PS neg,4,-5.254026374859709,5.175158260338748,0
29,Combined,PS,neg,PS neg,5,-1.9054573512906852,6.279973566021065,0
30,Combined,PS,neg,PS neg,6,-4.392662738496072,4.847407319650152,1
31,Combined,PS,neg,PS neg,7,-1.7977974186307522,4.478799694662044,0
32,Combined,PS,neg,PS neg,8,0.019374298540965482,4.874407212163042,0
33,Combined,PS,neg,PS neg,9,-2.34064253647587,5.353614844955493,0
34,Combined,PS,neg,PS neg,10,-1.6525953984287318,5.432201268031323,0
35,Combined,PS,neg,PS neg,11,-0.2793630751964089,5.023008754861534,0
36,Pure,PS,pos,PS pos,-6,0.04017001517001499,2.320184789338982,0
37,Pure,PS,pos,PS pos,-5,-0.7373302623302624,2.6246324509640253,0
38,Pure,PS,pos,PS pos,-4,0.5804741554741556,2.380141126504621,0
39,Pure,PS,pos,PS pos,-3,-0.6108567358567358,1.744563717036627,0
40,Pure,PS,pos,PS pos,-2,-0.04088226588226581,2.667964258579902,0
41,Pure,PS,pos,PS pos,-1,0.7684250934250935,2.8360103846271896,0
42,Pure,PS,pos,PS pos,0,-52.00940818440818,4.0325480425109905,0
43,Pure,PS,pos,PS pos,1,-12.139317164317164,16.954805742594413,1
44,Pure,PS,pos,PS pos,2,-12.20669978169978,12.661310184622183,1
45,Pure,PS,pos,PS pos,3,-6.692969067969068,10.503074512463071,1
46,Pure,PS,pos,PS pos,4,-4.058697783697784,8.815092632198107,1
47,Pure,PS,pos,PS pos,5,1.4973739223739229,5.320494691170729,1
48,Pure,PS,pos,PS pos,6,2.661948236948237,4.81956798399939,0
49,Pure,PS,pos,PS pos,7,4.112336737336738,4.068126340826386,0
50,Pure,PS,pos,PS pos,8,5.766832241832242,4.2838018423039514,0
51,Pure,PS,pos,PS pos,9,6.63638491138491,4.942228066247711,0
52,Pure,PS,pos,PS pos,10,7.72415824915825,5.23345240459852,0
53,Pure,PS,pos,PS pos,11,7.180385355385355,4.06270857089035,0
54,Combined,PS,pos,PS pos,-6,-1.5793831168831165,2.5899259340078573,0
55,Combined,PS,pos,PS pos,-5,-1.6170454545454545,3.317837605544779,0
56,Combined,PS,pos,PS pos,-4,1.6520021645021647,2.032814318286251,0
57,Combined,PS,pos,PS pos,-3,2.6216269841269844,3.6914146865970965,0
58,Combined,PS,pos,PS pos,-2,0.7871031746031748,3.2071538952145673,0
59,Combined,PS,pos,PS pos,-1,-1.8643037518037515,2.4878553260646465,0
60,Combined,PS,pos,PS pos,0,-50.67736291486291,2.7797905213584015,0
61,Combined,PS,pos,PS pos,1,6.757810245310246,8.325719577301392,1
62,Combined,PS,pos,PS pos,2,14.277976190476192,7.899261317758582,1
63,Combined,PS,pos,PS pos,3,8.612752525252526,4.93890805731733,1
64,Combined,PS,pos,PS pos,4,4.877435064935065,4.277573451116022,1
65,Combined,PS,pos,PS pos,5,8.062968975468976,3.718727117742145,1
66,Combined,PS,pos,PS pos,6,5.180970418470419,4.741069483007324,0
67,Combined,PS,pos,PS pos,7,7.344065656565657,3.3695271302248133,0
68,Combined,PS,pos,PS pos,8,6.524007936507936,3.404010112075,0
69,Combined,PS,pos,PS pos,9,6.4138347763347765,3.4324923771883853,0
70,Combined,PS,pos,PS pos,10,6.578228715728716,3.129735097093593,0
71,Combined,PS,pos,PS pos,11,3.3815476190476192,2.9730983770873576,0
72,Pure,SC,neg,SC neg,-6,-1.784371492704826,3.0622801543686275,0
73,Pure,SC,neg,SC neg,-5,1.3510830527497188,3.40723240954353,0
74,Pure,SC,neg,SC neg,-4,-0.6586139169472507,1.905343993946865,0
75,Pure,SC,neg,SC neg,-3,0.8520931537598202,2.426035759416318,0
76,Pure,SC,neg,SC neg,-2,-0.29097081930415286,2.3207405871841726,0
77,Pure,SC,neg,SC neg,-1,0.5307800224466888,4.108077320799869,0
78,Pure,SC,neg,SC neg,0,48.65421436588103,4.140465503210952,0
79,Pure,SC,neg,SC neg,1,51.17616722783389,8.489185774114254,0
80,Pure,SC,neg,SC neg,2,24.075998877665544,11.707046240398075,0
81,Pure,SC,neg,SC neg,3,5.066167227833895,7.598821320597149,0
82,Pure,SC,neg,SC neg,4,1.855258136924803,6.387341172513737,0
83,Pure,SC,neg,SC neg,5,1.819702581369248,6.78705021903298,0
84,Pure,SC,neg,SC neg,6,1.6541133557800223,7.180709609274855,0
