,Experiment_type,Experiment_sign,Title,Relative_beep,Asyn_zeroed,ci_asyn,rejected
0,PS,neg,PS neg,-6,1.7186623176206508,2.000609534252242,0
1,PS,neg,PS neg,-5,0.832709034792368,1.7110814277448,0
2,PS,neg,PS neg,-4,1.6424417789001122,1.9264172354089404,0
3,PS,neg,PS neg,-3,-2.1127560325476993,1.6745017095184764,0
4,PS,neg,PS neg,-2,-0.30646394500561197,1.9493962643232308,0
5,PS,neg,PS neg,-1,-1.7745931537598205,1.64267165543008,0
6,PS,neg,PS neg,0,-4.275256032547695,3.234098607958157,0
7,PS,neg,PS neg,1,11.451227553310886,7.002968133045749,0
8,PS,neg,PS neg,2,11.970082772166105,5.728445472038496,1
9,PS,neg,PS neg,3,9.452826879910212,4.299302902769018,1
10,PS,neg,PS neg,4,5.513233024691359,3.7406378412052685,0
11,PS,neg,PS neg,5,7.38802258698092,4.192691079195027,0
12,PS,neg,PS neg,6,7.23495019640853,3.355769689968207,1
13,PS,neg,PS neg,7,3.5022060886644217,3.2120275093356576,0
14,PS,neg,PS neg,8,0.2797629068462399,3.2629777111405414,0
15,PS,neg,PS neg,9,1.4442936307519643,3.6097043245100586,0
16,PS,neg,PS neg,10,0.06104447250280565,3.6545335316199594,0
17,PS,neg,PS neg,11,-4.033210578002244,3.3624872941384436,0
18,PS,pos,PS pos,-6,1.6195531320531316,1.8201421778873423,0
19,PS,pos,PS pos,-5,0.879715192215192,2.2590622829224962,0
20,PS,pos,PS pos,-4,-1.0715280090280093,1.648788147442006,0
21,PS,pos,PS pos,-3,-3.23248371998372,2.530472679803087,0
22,PS,pos,PS pos,-2,-0.8279854404854406,2.2064212187344223,0
23,PS,pos,PS pos,-1,2.632728845228845,1.9800168898089456,0
24,PS,pos,PS pos,0,-1.3320452695452687,2.701623138458147,0
25,PS,pos,PS pos,1,-18.89712740962741,11.446113397529523,1
26,PS,pos,PS pos,2,-26.48467597217597,8.46109669990141,1
27,PS,pos,PS pos,3,-15.305721593221595,7.111827796699678,1
28,PS,pos,PS pos,4,-8.936132848632848,5.9558186189122635,1
29,PS,pos,PS pos,5,-6.565595053095054,3.5675728159510176,1
30,PS,pos,PS pos,6,-2.519022181522182,3.518897534924105,0
31,PS,pos,PS pos,7,-3.2317289192289183,2.796098861148583,0
32,PS,pos,PS pos,8,-0.757175694675694,2.9185647016628775,0
33,PS,pos,PS pos,9,0.22255013505013377,3.3125595259694536,0
34,PS,pos,PS pos,10,1.145929533429534,3.499146479713627,0
35,PS,pos,PS pos,11,3.798837736337736,2.7349936521807385,0
36,SC,neg,SC neg,-6,1.961114618406285,2.4362535050201855,0
37,SC,neg,SC neg,-5,0.20670173961840588,2.363628119655978,0
38,SC,neg,SC neg,-4,-0.3525217452300789,1.9155335961208257,0
39,SC,neg,SC neg,-3,0.7444542648709311,1.8553538404701377,0
40,SC,neg,SC neg,-2,0.3536630190796855,2.063998489617041,0
41,SC,neg,SC neg,-1,-2.91341189674523,2.742101343166426,0
42,SC,neg,SC neg,0,-3.4940495230078596,2.994075343461515,0
43,SC,neg,SC neg,1,-2.0655625701459,7.082378332527854,0
44,SC,neg,SC neg,2,-10.729272586980922,9.6970951416536,0
45,SC,neg,SC neg,3,-10.958611812570144,8.699898519009206,0
46,SC,neg,SC neg,4,-6.763270903479237,4.859039834563911,0
47,SC,neg,SC neg,5,-0.6417241863075194,4.518051959091407,0
48,SC,neg,SC neg,6,1.9381411335578,4.8201133627140065,0
49,SC,neg,SC neg,7,-0.89432519640853,5.293564621252623,0
50,SC,neg,SC neg,8,-0.7955899270482609,5.895397307401191,0
51,SC,neg,SC neg,9,1.9620258136924804,5.458761741764219,0
52,SC,neg,SC neg,10,5.481825897867564,5.670397932536027,0
53,SC,neg,SC neg,11,-0.2475491021324352,4.805151174770671,0
54,SC,pos,SC pos,-6,-0.07055074555074592,2.052813594549316,0
55,SC,pos,SC pos,-5,-0.7325366762866768,1.7800842451296184,0
56,SC,pos,SC pos,-4,0.4607263107263101,1.8469890063247154,0
57,SC,pos,SC pos,-3,-2.8624518999519006,2.149505243574973,0
58,SC,pos,SC pos,-2,1.4684328403078395,1.6416595627923083,0
59,SC,pos,SC pos,-1,1.73638017075517,2.9104446212810857,0
60,SC,pos,SC pos,0,1.7850995069744968,2.938270076747612,0
61,SC,pos,SC pos,1,-1.2602197570947595,6.067173966416929,0
62,SC,pos,SC pos,2,14.181144781144779,9.173510625309781,0
63,SC,pos,SC pos,3,14.26130802068302,8.371718015413924,0
64,SC,pos,SC pos,4,9.045935545935544,8.063670200333632,0
65,SC,pos,SC pos,5,7.385108525733525,6.834871279200676,0
66,SC,pos,SC pos,6,5.878786375661374,5.317653368136314,0
67,SC,pos,SC pos,7,4.840145502645502,6.205820062014397,0
68,SC,pos,SC pos,8,2.240064333814334,6.259804227699261,0
69,SC,pos,SC pos,9,1.0310094997594987,5.591925635641823,0
70,SC,pos,SC pos,10,-0.7918846200096201,4.93432956073404,0
71,SC,pos,SC pos,11,-2.6728911135161146,5.592782822749599,0
